Points,Full name,Market value,Average value,Ante penultimate match score,Penultimate match score,Last match score,Attempt to buy
66,H. Duro, 7.277.000,6.0,2,10,11,7.277.000
9,R. Yaremchuk, 1.069.000,1.8,1,3,2,1.069.000
55,S. Ñíguez, 10.034.000,5.0,5,4,2,10.234.000
35,L. Robertone, 8.221.000,4.4,-,1,4,8.221.000
50,A. Oroz, 6.372.000,4.2,4,4,4,6.372.000
16,Ó. Torres, 559.000,2.3,0,-,4,559.000
-2,R. Navarro, 201.000,-0.5,-,-9,-,201.000
0,P. Marín,160.000,0.0,-,-,-,160.000
57,Ó. Mingueza, 10.044.000,5.2,4,6,2,10.044.000
0,N. Maraš, 180.000,0.0,-,-,-,180.000
3,J. Vallejo, 179.000,1.5,0,-,-,179.000
7,M. Dmitrović, 1.101.000,2.3,-,-,-,1.101.000
6,R. García, 171.000,1.5,-,-,-,171.000
16,Pedri, 15.065.000,8.0,-,-,-,15.065.000
15,W. Swedberg, 191.000,3.8,-,-,-,191.000
0,N. Paz,160.000,0.0,-,-,-,160.000
8,J. Jordan,160.000,2.7,-,-,-,160.000
42,P. Espino, 4.572.000,3.8,3,4,2,4.572.000
10,I. García, 258.000,2.5,-,-,0,258.000
1,B. Espinosa, 174.000,1.0,-,-,-,174.000
1,F. Vieites, 160.000,1.0,-,-,-,160.000
