Team Name,Puntos,Media,Valor,Jugadores
M32-G6_Jammin&#039;,83,27.7,60.7M,16
Team Name,Puntos,Media,Valor,Jugadores
M32-G3-GoalAnalitics,135,45.0,73.3M,10
Team Name,Puntos,Media,Valor,Jugadores
M31-G4-DLA,71,23.7,53.1M,16
Team Name,Puntos,Media,Valor,Jugadores
M31-G7-DraftKings,153,51.0,89.5M,12
Team Name,Puntos,Media,Valor,Jugadores
M31-G2-UA2C,122,40.7,86.6M,11
Team Name,Puntos,Media,Valor,Jugadores
M31-G1-FutX,97,32.3,72.1M,12
Team Name,Puntos,Media,Valor,Jugadores
M32-G7-KleinGroup,86,28.7,37.1M,15
Team Name,Puntos,Media,Valor,Jugadores
albertohg,109,36.3,56.6M,15
Team Name,Puntos,Media,Valor,Jugadores
M32-G2-xGarcii,120,40.0,38.5M,15
Team Name,Puntos,Media,Valor,Jugadores
M31-G5-REALE,46,23.0,34.9M,15
Team Name,Puntos,Media,Valor,Jugadores
M31-G6-AcMilanesa,136,45.3,95.7M,11
Team Name,Puntos,Media,Valor,Jugadores
M32-G5-BabooManager,130,43.3,71.5M,12
Team Name,Puntos,Media,Valor,Jugadores
M32-G2-dreamx1,82,27.3,48.0M,15
Team Name,Puntos,Media,Valor,Jugadores
M32-G8 - Los Capys,21,21.0,26.6M,15
Team Name,Puntos,Media,Valor,Jugadores
M31-G3-CactusPanda,124,41.3,86.3M,12
Team Name,Puntos,Media,Valor,Jugadores
Admin,123,41.0,104.3M,16
Team Name,Puntos,Media,Valor,Jugadores
M32-G4-FantasIA,40,20.0,18.7M,15
Team Name,Puntos,Media,Valor,Jugadores
M32-G1-Cyber-Football,77,25.7,36.3M,15
Team Name,Puntos,Media,Valor,Jugadores
M32-G9-PREDITECH INSIGHTS,121,40.3,76.9M,11
Team Name,Puntos,Media,Valor,Jugadores
jluzon,107,35.7,60.4M,17
