Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Total Passes,Accurate Passes,Total Long Balls,Accurate Long Balls,Total Crosses,Accurate Crosses,Total clearances,Clearances on goal line,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Dribbled Past,Losses,Total Dribbles,Completed dribbles,Failures that lead to shot,Shots Off Target,Shots on Target,Shots blocked in attack,Shots blocked in defence,Occasions created,Goal assists,Shots to the crossbar,Failed obvious occasions,Goals,Interceptions,Total Tackles,Fouls Received,Fouls Committed,Offsides,Minutes Played,Touches,Possessions Lost,Expected Goals,Key Passes,Expected Assists,Timestamp
AntoineGriezmann,J11,6,2,6,5,54,48,4,2,4,2,2,0,0,0,3,2,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,90,66,10,0.1,2,0.7,2023-11-03 09:15:18.017314
AntoineGriezmann,J10,19,19,23,21,46,36,2,2,1,0,0,0,1,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,76,55,14,1.4,2,0.0,2023-11-03 09:15:22.242344
AntoineGriezmann,J9,13,9,9,8,29,23,5,4,2,0,0,0,1,2,5,6,2,1,0,0,0,2,1,1,0,0,0,0,2,1,1,1,3,1,0,90,43,9,1.5,3,0.1,2023-11-03 09:15:26.498489
AntoineGriezmann,J8,6,6,10,6,57,46,3,2,4,0,1,0,1,0,2,5,0,0,4,3,0,3,2,1,0,0,0,1,2,0,0,1,1,0,1,90,78,18,1.1,1,0.1,2023-11-03 09:15:30.753280
AntoineGriezmann,J7,9,9,13,9,37,29,2,1,2,1,1,0,3,1,4,3,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,90,50,12,0.1,0,0.0,2023-11-03 09:15:34.970177
AntoineGriezmann,J6,13,13,13,10,36,32,3,2,7,2,0,0,0,0,7,3,1,2,2,0,0,0,1,1,1,0,0,0,0,1,0,3,0,2,0,90,60,17,0.1,1,0.1,2023-11-03 09:15:39.227205
AntoineGriezmann,J5,-2,-2,2,5,22,15,0,0,1,0,0,0,1,1,2,5,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,62,34,11,0,1,0.2,2023-11-03 09:15:43.448482
AntoineGriezmann,J3,9,13,17,12,36,27,2,1,3,2,1,0,0,0,4,7,0,2,3,2,0,1,1,0,0,0,0,0,0,1,0,3,2,1,0,76,57,15,0.4,2,0.1,2023-11-03 09:15:47.724068
AntoineGriezmann,J2,2,2,2,5,35,32,1,1,5,2,0,0,0,0,2,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,90,49,8,0.1,1,0.1,2023-11-03 09:15:52.028694
AntoineGriezmann,J1,-2,2,2,5,34,29,2,2,1,0,1,0,0,1,3,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,77,49,12,0.0,3,0.5,2023-11-03 09:15:56.290842
