Full Name,Value,Date
JudeBellingham,20000000,16 jun 2023
JudeBellingham,19991000,17 jun 2023
JudeBellingham,19995000,18 jun 2023
JudeBellingham,19981000,19 jun 2023
JudeBellingham,19977000,20 jun 2023
JudeBellingham,19972000,21 jun 2023
JudeBellingham,19977000,22 jun 2023
JudeBellingham,19968000,23 jun 2023
JudeBellingham,19954000,24 jun 2023
JudeBellingham,19946000,25 jun 2023
JudeBellingham,19937000,26 jun 2023
JudeBellingham,19930000,27 jun 2023
JudeBellingham,19924000,28 jun 2023
JudeBellingham,19911000,29 jun 2023
JudeBellingham,19898000,30 jun 2023
JudeBellingham,19889000,1 jul 2023
JudeBellingham,19881000,2 jul 2023
JudeBellingham,19870000,3 jul 2023
JudeBellingham,19860000,4 jul 2023
JudeBellingham,19847000,5 jul 2023
JudeBellingham,19826000,6 jul 2023
JudeBellingham,19811000,7 jul 2023
JudeBellingham,19785000,8 jul 2023
JudeBellingham,19762000,9 jul 2023
JudeBellingham,19737000,10 jul 2023
JudeBellingham,19737000,12 jul 2023
JudeBellingham,19725000,13 jul 2023
JudeBellingham,19694000,14 jul 2023
JudeBellingham,19655000,15 jul 2023
JudeBellingham,19624000,16 jul 2023
JudeBellingham,19588000,17 jul 2023
JudeBellingham,19553000,18 jul 2023
JudeBellingham,19530000,19 jul 2023
JudeBellingham,19499000,20 jul 2023
JudeBellingham,19469000,21 jul 2023
JudeBellingham,19445000,22 jul 2023
JudeBellingham,19421000,23 jul 2023
JudeBellingham,19398000,24 jul 2023
JudeBellingham,19378000,25 jul 2023
JudeBellingham,19361000,26 jul 2023
JudeBellingham,19346000,27 jul 2023
JudeBellingham,19345000,28 jul 2023
JudeBellingham,19341000,29 jul 2023
JudeBellingham,19329000,30 jul 2023
JudeBellingham,19311000,31 jul 2023
JudeBellingham,19288000,1 ago 2023
JudeBellingham,19274000,2 ago 2023
JudeBellingham,19264000,3 ago 2023
JudeBellingham,19242000,4 ago 2023
JudeBellingham,19211000,5 ago 2023
JudeBellingham,19185000,6 ago 2023
JudeBellingham,19150000,7 ago 2023
JudeBellingham,19113000,8 ago 2023
JudeBellingham,19082000,9 ago 2023
JudeBellingham,19051000,10 ago 2023
JudeBellingham,19011000,11 ago 2023
JudeBellingham,18975000,12 ago 2023
JudeBellingham,18969000,13 ago 2023
JudeBellingham,18983000,14 ago 2023
JudeBellingham,19002000,15 ago 2023
JudeBellingham,19052000,16 ago 2023
JudeBellingham,19084000,17 ago 2023
JudeBellingham,19102000,18 ago 2023
JudeBellingham,19083000,19 ago 2023
JudeBellingham,19132000,20 ago 2023
