Rank,Team Name,Total Points,Goals Difference,Games Played,Games Won,Games Draw,Games Lost,All goals for,All Goals Against,Home games wins,Home games draws,Home games loses,Home games goals for,Home games Goals Against,Away games Wins,Away games Draws,Away games Loses,Away games goals for,Away games goals Against,Date
1,Real Madrid,24,14,9,8,0,1,20,6,4,0,0,10,2,4,0,1,10,4,2023-10-20 22:58:47.636632
2,Girona,22,8,9,7,1,1,19,11,3,0,1,9,6,4,1,0,10,5,2023-10-20 22:58:47.636642
3,Barcelona,21,11,9,6,3,0,21,10,4,0,0,11,2,2,3,0,10,8,2023-10-20 22:58:47.636647
4,Atletico Madrid,19,12,8,6,1,1,20,8,4,0,0,11,5,2,1,1,9,3,2023-10-20 22:58:47.636651
5,Athletic Club,17,7,9,5,2,2,16,9,3,1,1,12,6,2,1,1,4,3,2023-10-20 22:58:47.636655
6,Real Sociedad,15,5,9,4,3,2,17,12,3,2,0,14,8,1,1,2,3,4,2023-10-20 22:58:47.636660
7,Rayo Vallecano,13,-2,9,3,4,2,11,13,1,2,1,5,10,2,2,1,6,3,2023-10-20 22:58:47.636663
8,Real Betis,13,-2,9,3,4,2,11,13,2,2,0,5,1,1,2,2,6,12,2023-10-20 22:58:47.636667
9,Valencia,11,-1,9,3,2,4,10,11,2,0,2,5,3,1,2,2,5,8,2023-10-20 22:58:47.636671
10,Las Palmas,11,-2,9,3,2,4,6,8,2,2,0,4,2,1,0,4,2,6,2023-10-20 22:58:47.636675
11,Getafe,10,-3,9,2,4,3,12,15,2,2,0,4,2,0,2,3,8,13,2023-10-20 22:58:47.636680
12,Osasuna,10,-5,9,3,1,5,9,14,0,1,3,1,6,3,0,2,8,8,2023-10-20 22:58:47.636684
13,Cadiz,9,-4,9,2,3,4,8,12,2,2,1,5,3,0,1,3,3,9,2023-10-20 22:58:47.636688
14,Sevilla,8,1,8,2,2,4,13,12,2,1,2,10,7,0,1,2,3,5,2023-10-20 22:58:47.636691
15,Mallorca,8,-3,9,1,5,3,12,15,0,3,1,3,4,1,2,2,9,11,2023-10-20 22:58:47.636695
16,Villarreal,8,-4,9,2,2,5,11,15,1,0,4,8,11,1,2,1,3,4,2023-10-20 22:58:47.636699
17,Alaves,8,-6,9,2,2,5,7,13,2,1,2,6,8,0,1,3,1,5,2023-10-20 22:58:47.636702
18,Celta Vigo,6,-5,9,1,3,5,10,15,0,2,3,3,7,1,1,2,7,8,2023-10-20 22:58:47.636706
19,Granada CF,6,-8,9,1,3,5,15,23,1,2,2,8,11,0,1,3,7,12,2023-10-20 22:58:47.636710
20,Almeria,3,-13,9,0,3,6,11,24,0,2,3,8,13,0,1,3,3,11,2023-10-20 22:58:47.636713
